like like l li lik like e ke ike like IN lowercase word O O O
many many m ma man many y ny any many JJ lowercase word O O O
heartland heartland h he hea hear d nd and land NN lowercase word O O B-LOC
states states s st sta stat s es tes ates NNS lowercase word O O B-GPE
, , , ND ND ND , ND ND ND , ND punctuation O O O
iowa iowa i io iow iowa a wa owa iowa NN lowercase word O O B-GPE
has has h ha has ND s as has ND VBZ lowercase word O O O
had had h ha had ND d ad had ND VBN lowercase word O O O
trouble trouble t tr tro trou e le ble uble NN lowercase word O O O
keeping keeping k ke kee keep g ng ing ping VBG lowercase word O O O
young young y yo you youn g ng ung oung JJ lowercase word O O O
people people p pe peo peop e le ple ople NNS lowercase word O O B-PER
down down d do dow down n wn own down RB lowercase word O O O
on on o on ND ND n on ND ND IN lowercase word O O O
the the t th the ND e he the ND DT lowercase word O O O
farm farm f fa far farm m rm arm farm NN lowercase word O O B-FAC
or or o or ND ND r or ND ND CC lowercase word O O O
anywhere anywhere a an any anyw e re ere here RB lowercase word O O B-LOC
within within w wi wit with n in hin thin IN lowercase word O O O
state state s st sta stat e te ate tate NN lowercase word B-LocationGeneralKey O B-GPE
lines lines l li lin line s es nes ines NNS lowercase word O O B-LOC
. . . ND ND ND . ND ND ND . ND punctuation O O O
with with w wi wit with h th ith with IN lowercase word B-Stop O O
population population p po pop popu n on ion tion NN lowercase word O O O
waning waning w wa wan wani g ng ing ning VBG lowercase word O O O
, , , ND ND ND , ND ND ND , ND punctuation O O O
the the t th the ND e he the ND DT lowercase word O O O
state state s st sta stat e te ate tate NN lowercase word B-LocationGeneralKey O B-GPE
is is i is ND ND s is ND ND VBZ lowercase word O O O
looking looking l lo loo look g ng ing king VBG lowercase word O O O
beyond beyond b be bey beyo d nd ond yond IN lowercase word O O O
its its i it its ND s ts its ND PRP$ lowercase word O O B-GPE
borders borders b bo bor bord s rs ers ders NNS lowercase word O O B-LOC
for for f fo for ND r or for ND IN lowercase word B-Stop O O
newcomers newcomers n ne new newc s rs ers mers NNS lowercase word O O B-PER
. . . ND ND ND . ND ND ND . ND punctuation O O O
as as a as ND ND s as ND ND IN lowercase word B-CDG O O
abc abc a ab abc ND c bc abc ND NN lowercase word O O B-ORG
' ' ' ND ND ND ' ND ND ND '' ND punctuation O O O
s s s ND ND ND s ND ND ND VBZ lowercase word O O O
jim jim j ji jim ND m im jim ND NN lowercase word O O B-PER
sciutto sciutto s sc sci sciu o to tto utto NN lowercase word O O I-PER
